日期,计划购电量(kWh),紧急购电量(kWh),计划购电费(元),紧急购电费(元),总费用(元),0:00储电量(kWh),24:00储电量(kWh)
2025-02-01,50042.256924106274,0.0,26707.218916515107,0.0,26707.218916515107,10800.0,10800.0
2025-02-02,97269.10820529041,0.0,62304.94705016391,0.0,62304.94705016391,10800.0,10800.0
2025-02-03,94005.81190888202,0.0,59897.17093660475,0.0,59897.17093660475,10800.0,10800.0
2025-02-04,94082.50612228159,0.0,59989.55425931161,0.0,59989.55425931161,10800.0,10800.0
2025-02-05,89470.17816446602,1.9264141228017024,56534.051925106716,11.189576432293688,56545.24150153901,10800.0,10800.0
2025-02-06,90404.4638572807,27.027433731288852,57374.69155620021,157.68359342819127,57532.3751496284,10800.0,10800.0
2025-02-07,44564.02066345727,0.0,23411.04986623716,0.0,23411.04986623716,10800.0,10800.0
2025-02-08,41503.4121259494,0.0,21836.565152674575,0.0,21836.565152674575,10800.0,10800.0
2025-02-09,86700.05253999328,0.0,54565.84251222044,0.0,54565.84251222044,10800.0,10800.0
2025-02-10,87600.43170932718,0.0,55259.74077696288,0.0,55259.74077696288,10800.0,10800.0
2025-02-11,87910.7897369229,67.64857631649878,55525.83242857247,358.9113134355582,55884.743742008024,10800.0,10798.523233092805
2025-02-12,86467.49771767604,0.0,54445.98156455932,0.0,54445.98156455932,10798.523233092805,10800.0
2025-02-13,86431.0905340627,0.0,54436.70966316728,0.0,54436.70966316728,10800.0,10800.0
2025-02-14,39238.33390107834,0.0,20727.817202498874,0.0,20727.817202498874,10800.0,10800.0
2025-02-15,38520.20908576732,0.0,20372.25086338885,0.0,20372.25086338885,10800.0,10800.0
2025-02-16,84660.18059372879,19.97174144644248,53134.463678605694,90.86143771059007,53225.325116316286,10800.0,10800.0
2025-02-17,83093.2771220284,0.0,52042.52208374687,0.0,52042.52208374687,10800.0,10800.0
2025-02-18,83263.45557583931,6.013996682631841,52235.08137728308,27.360677907633566,52262.44205519072,10800.0,10800.0
