date,slot_id,time_marker_normalized,price_yuan_per_kwh,source_file,source_sheet,source_row,source_column,source_cell,raw_date_value,raw_time_value,raw_value
2025-01-01,1,0:10,0.4527,附件4.xlsx,Sheet1,2,B,B2,45658,6.9444444444444441E-3,0.45269999999999999
2025-01-01,2,0:20,0.4733,附件4.xlsx,Sheet1,2,C,C2,45658,1.3888888888888888E-2,0.4733
2025-01-01,3,0:30,0.4843,附件4.xlsx,Sheet1,2,D,D2,45658,2.0833333333333301E-2,0.48430000000000001
2025-01-01,4,0:40,0.4541,附件4.xlsx,Sheet1,2,E,E2,45658,2.77777777777777E-2,0.4541
2025-01-01,5,0:50,0.4266,附件4.xlsx,Sheet1,2,F,F2,45658,3.4722222222222203E-2,0.42659999999999998
2025-01-01,6,1:00,0.4311,附件4.xlsx,Sheet1,2,G,G2,45658,4.1666666666666602E-2,0.43109999999999998
2025-01-01,7,1:10,0.4544,附件4.xlsx,Sheet1,2,H,H2,45658,4.8611111111111098E-2,0.45440000000000003
2025-01-01,8,1:20,0.4483,附件4.xlsx,Sheet1,2,I,I2,45658,5.5555555555555497E-2,0.44829999999999998
2025-01-01,9,1:30,0.4251,附件4.xlsx,Sheet1,2,J,J2,45658,6.25E-2,0.42509999999999998
2025-01-01,10,1:40,0.444,附件4.xlsx,Sheet1,2,K,K2,45658,6.9444444444444406E-2,0.44400000000000001
2025-01-01,11,1:50,0.478,附件4.xlsx,Sheet1,2,L,L2,45658,7.6388888888888895E-2,0.47799999999999998
2025-01-01,12,2:00,0.4941,附件4.xlsx,Sheet1,2,M,M2,45658,8.3333333333333301E-2,0.49409999999999998
2025-01-01,13,2:10,0.484,附件4.xlsx,Sheet1,2,N,N2,45658,9.0277777777777707E-2,0.48399999999999999
2025-01-01,14,2:20,0.4751,附件4.xlsx,Sheet1,2,O,O2,45658,9.7222222222222293E-2,0.47510000000000002
2025-01-01,15,2:30,0.488,附件4.xlsx,Sheet1,2,P,P2,45658,0.104166666666667,0.48799999999999999
2025-01-01,16,2:40,0.5215,附件4.xlsx,Sheet1,2,Q,Q2,45658,0.11111111111111099,0.52149999999999996
2025-01-01,17,2:50,0.5498,附件4.xlsx,Sheet1,2,R,R2,45658,0.118055555555555,0.54979999999999996
2025-01-01,18,3:00,0.5471,附件4.xlsx,Sheet1,2,S,S2,45658,0.125,0.54710000000000003
2025-01-01,19,3:10,0.5067,附件4.xlsx,Sheet1,2,T,T2,45658,0.131944444444444,0.50670000000000004
2025-01-01,20,3:20,0.4769,附件4.xlsx,Sheet1,2,U,U2,45658,0.13888888888888801,0.47689999999999999
2025-01-01,21,3:30,0.4669,附件4.xlsx,Sheet1,2,V,V2,45658,0.14583333333333301,0.46689999999999998
2025-01-01,22,3:40,0.4501,附件4.xlsx,Sheet1,2,W,W2,45658,0.15277777777777701,0.4501
2025-01-01,23,3:50,0.4608,附件4.xlsx,Sheet1,2,X,X2,45658,0.15972222222222199,0.46079999999999999
2025-01-01,24,4:00,0.4927,附件4.xlsx,Sheet1,2,Y,Y2,45658,0.16666666666666599,0.49270000000000003
2025-01-01,25,4:10,0.4976,附件4.xlsx,Sheet1,2,Z,Z2,45658,0.17361111111111099,0.49759999999999999
2025-01-01,26,4:20,0.4889,附件4.xlsx,Sheet1,2,AA,AA2,45658,0.180555555555555,0.4889
2025-01-01,27,4:30,0.4885,附件4.xlsx,Sheet1,2,AB,AB2,45658,0.1875,0.48849999999999999
2025-01-01,28,4:40,0.5042,附件4.xlsx,Sheet1,2,AC,AC2,45658,0.194444444444444,0.50419999999999998
2025-01-01,29,4:50,0.5178,附件4.xlsx,Sheet1,2,AD,AD2,45658,0.20138888888888801,0.51780000000000004
2025-01-01,30,5:00,0.5042,附件4.xlsx,Sheet1,2,AE,AE2,45658,0.20833333333333301,0.50419999999999998
2025-01-01,31,5:10,0.4639,附件4.xlsx,Sheet1,2,AF,AF2,45658,0.21527777777777701,0.46389999999999998
2025-01-01,32,5:20,0.4899,附件4.xlsx,Sheet1,2,AG,AG2,45658,0.22222222222222199,0.4899
2025-01-01,33,5:30,0.5194,附件4.xlsx,Sheet1,2,AH,AH2,45658,0.22916666666666599,0.51939999999999997
2025-01-01,34,5:40,0.4459,附件4.xlsx,Sheet1,2,AI,AI2,45658,0.23611111111111099,0.44590000000000002
2025-01-01,35,5:50,0.6726,附件4.xlsx,Sheet1,2,AJ,AJ2,45658,0.243055555555555,0.67259999999999998
2025-01-01,36,6:00,1.0693,附件4.xlsx,Sheet1,2,AK,AK2,45658,0.25,1.0692999999999999
