date,slot_id,time_marker_normalized,pv_actual_kw,source_file,source_sheet,source_row,source_column,source_cell,raw_date_value,raw_time_value,raw_value
2025-01-01,1,0:10,0,附件2.xlsx,光伏发电实际功率,2,B,B2,45658,6.9444444444444441E-3,0
2025-01-01,2,0:20,0,附件2.xlsx,光伏发电实际功率,2,C,C2,45658,1.3888888888888888E-2,0
2025-01-01,3,0:30,0,附件2.xlsx,光伏发电实际功率,2,D,D2,45658,2.0833333333333301E-2,0
2025-01-01,4,0:40,0,附件2.xlsx,光伏发电实际功率,2,E,E2,45658,2.77777777777777E-2,0
2025-01-01,5,0:50,0,附件2.xlsx,光伏发电实际功率,2,F,F2,45658,3.4722222222222203E-2,0
2025-01-01,6,1:00,0,附件2.xlsx,光伏发电实际功率,2,G,G2,45658,4.1666666666666602E-2,0
2025-01-01,7,1:10,0,附件2.xlsx,光伏发电实际功率,2,H,H2,45658,4.8611111111111098E-2,0
2025-01-01,8,1:20,0,附件2.xlsx,光伏发电实际功率,2,I,I2,45658,5.5555555555555497E-2,0
2025-01-01,9,1:30,0,附件2.xlsx,光伏发电实际功率,2,J,J2,45658,6.25E-2,0
2025-01-01,10,1:40,0,附件2.xlsx,光伏发电实际功率,2,K,K2,45658,6.9444444444444406E-2,0
2025-01-01,11,1:50,0,附件2.xlsx,光伏发电实际功率,2,L,L2,45658,7.6388888888888895E-2,0
2025-01-01,12,2:00,0,附件2.xlsx,光伏发电实际功率,2,M,M2,45658,8.3333333333333301E-2,0
2025-01-01,13,2:10,0,附件2.xlsx,光伏发电实际功率,2,N,N2,45658,9.0277777777777707E-2,0
2025-01-01,14,2:20,0,附件2.xlsx,光伏发电实际功率,2,O,O2,45658,9.7222222222222293E-2,0
2025-01-01,15,2:30,0,附件2.xlsx,光伏发电实际功率,2,P,P2,45658,0.104166666666667,0
2025-01-01,16,2:40,0,附件2.xlsx,光伏发电实际功率,2,Q,Q2,45658,0.11111111111111099,0
2025-01-01,17,2:50,0,附件2.xlsx,光伏发电实际功率,2,R,R2,45658,0.118055555555555,0
2025-01-01,18,3:00,0,附件2.xlsx,光伏发电实际功率,2,S,S2,45658,0.125,0
2025-01-01,19,3:10,0,附件2.xlsx,光伏发电实际功率,2,T,T2,45658,0.131944444444444,0
2025-01-01,20,3:20,0,附件2.xlsx,光伏发电实际功率,2,U,U2,45658,0.13888888888888801,0
2025-01-01,21,3:30,0,附件2.xlsx,光伏发电实际功率,2,V,V2,45658,0.14583333333333301,0
2025-01-01,22,3:40,0,附件2.xlsx,光伏发电实际功率,2,W,W2,45658,0.15277777777777701,0
2025-01-01,23,3:50,0,附件2.xlsx,光伏发电实际功率,2,X,X2,45658,0.15972222222222199,0
2025-01-01,24,4:00,0,附件2.xlsx,光伏发电实际功率,2,Y,Y2,45658,0.16666666666666599,0
2025-01-01,25,4:10,0,附件2.xlsx,光伏发电实际功率,2,Z,Z2,45658,0.17361111111111099,0
2025-01-01,26,4:20,0,附件2.xlsx,光伏发电实际功率,2,AA,AA2,45658,0.180555555555555,0
2025-01-01,27,4:30,0,附件2.xlsx,光伏发电实际功率,2,AB,AB2,45658,0.1875,0
2025-01-01,28,4:40,0,附件2.xlsx,光伏发电实际功率,2,AC,AC2,45658,0.194444444444444,0
2025-01-01,29,4:50,0,附件2.xlsx,光伏发电实际功率,2,AD,AD2,45658,0.20138888888888801,0
2025-01-01,30,5:00,0,附件2.xlsx,光伏发电实际功率,2,AE,AE2,45658,0.20833333333333301,0
2025-01-01,31,5:10,0.0021,附件2.xlsx,光伏发电实际功率,2,AF,AF2,45658,0.21527777777777701,2.0999999999999999E-3
2025-01-01,32,5:20,0,附件2.xlsx,光伏发电实际功率,2,AG,AG2,45658,0.22222222222222199,0
2025-01-01,33,5:30,0,附件2.xlsx,光伏发电实际功率,2,AH,AH2,45658,0.22916666666666599,0
2025-01-01,34,5:40,0.0299,附件2.xlsx,光伏发电实际功率,2,AI,AI2,45658,0.23611111111111099,2.9899999999999999E-2
2025-01-01,35,5:50,0,附件2.xlsx,光伏发电实际功率,2,AJ,AJ2,45658,0.243055555555555,0
2025-01-01,36,6:00,0,附件2.xlsx,光伏发电实际功率,2,AK,AK2,45658,0.25,0
2025-01-01,37,6:10,0.4169,附件2.xlsx,光伏发电实际功率,2,AL,AL2,45658,0.25694444444444398,0.41689999999999999
2025-01-01,38,6:20,0,附件2.xlsx,光伏发电实际功率,2,AM,AM2,45658,0.26388888888888801,0
2025-01-01,39,6:30,0,附件2.xlsx,光伏发电实际功率,2,AN,AN2,45658,0.27083333333333298,0
2025-01-01,40,6:40,5.8062,附件2.xlsx,光伏发电实际功率,2,AO,AO2,45658,0.27777777777777701,5.8061999999999996
2025-01-01,41,6:50,0,附件2.xlsx,光伏发电实际功率,2,AP,AP2,45658,0.28472222222222199,0
2025-01-01,42,7:00,3.075,附件2.xlsx,光伏发电实际功率,2,AQ,AQ2,45658,0.29166666666666602,3.0750000000000002
2025-01-01,43,7:10,175.7953,附件2.xlsx,光伏发电实际功率,2,AR,AR2,45658,0.2986111111111111,175.7953
2025-01-01,44,7:20,421.496,附件2.xlsx,光伏发电实际功率,2,AS,AS2,45658,0.30555555555555503,421.49599999999998
2025-01-01,45,7:30,677.1,附件2.xlsx,光伏发电实际功率,2,AT,AT2,45658,0.3125,677.1
2025-01-01,46,7:40,950.8112,附件2.xlsx,光伏发电实际功率,2,AU,AU2,45658,0.31944444444444398,950.81119999999999
2025-01-01,47,7:50,1255.5705,附件2.xlsx,光伏发电实际功率,2,AV,AV2,45658,0.32638888888888801,1255.5705
