date,issue_hour,slot,endpoint_minute,previous_kwh,new_kwh,up_kwh,down_kwh,incremental_cost,scenario_dates
2025-02-01,0,0,20,0.0,495.19066179494627,495.19066179494627,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,1,30,0.0,491.7628057548141,491.7628057548141,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,2,40,0.0,528.0620106125981,528.0620106125981,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,3,50,0.0,535.8309546686271,535.8309546686271,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,4,60,0.0,518.5762021831601,518.5762021831601,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,5,70,0.0,542.7723219110005,542.7723219110005,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,6,80,0.0,485.65711111638643,485.65711111638643,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,7,90,0.0,463.5264893119063,463.5264893119063,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,8,100,0.0,493.15768710918496,493.15768710918496,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,9,110,0.0,504.45027082856717,504.45027082856717,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,10,120,0.0,486.517973108722,486.517973108722,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,11,130,0.0,500.2301604265808,500.2301604265808,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,12,140,0.0,513.2462651707887,513.2462651707887,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,13,150,0.0,506.22566816076665,506.22566816076665,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,14,160,0.0,496.8911824009087,496.8911824009087,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,15,170,0.0,500.0530403210287,500.0530403210287,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,16,180,0.0,513.0588154520453,513.0588154520453,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,17,190,0.0,520.1453590721939,520.1453590721939,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,18,200,0.0,518.5406557812489,518.5406557812489,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,19,210,0.0,510.93888864166706,510.93888864166706,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,20,220,0.0,504.178568607575,504.178568607575,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,21,230,0.0,512.060589055872,512.060589055872,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,22,240,0.0,525.0084011736444,525.0084011736444,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,23,250,0.0,520.1818879985015,520.1818879985015,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,24,260,0.0,520.8921977491942,520.8921977491942,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,25,270,0.0,534.060899390261,534.060899390261,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,26,280,0.0,543.3948944097203,543.3948944097203,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,27,290,0.0,550.8479044315837,550.8479044315837,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,28,300,0.0,550.2367014089118,550.2367014089118,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,29,310,0.0,533.3112815107182,533.3112815107182,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,30,320,0.0,276.7872122641206,276.7872122641206,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,31,330,0.0,289.7546969236771,289.7546969236771,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,32,340,0.0,299.45834650463115,299.45834650463115,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,33,350,0.0,291.8715206666384,291.8715206666384,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,34,360,0.0,279.5168536081183,279.5168536081183,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,35,370,0.0,282.55860966954987,282.55860966954987,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,36,380,0.0,0.0,0.0,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,37,390,0.0,0.0,0.0,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,38,400,0.0,0.0,0.0,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,39,410,0.0,0.0,0.0,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,40,420,0.0,0.0,0.0,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,41,430,0.0,0.0,0.0,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,42,440,0.0,0.0,0.0,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,43,450,0.0,0.0,0.0,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,44,460,0.0,0.0,0.0,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,45,470,0.0,0.0,0.0,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,46,480,0.0,0.0,0.0,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
2025-02-01,0,47,490,0.0,0.0,0.0,0.0,24767.410298546114,2025-01-23;2025-01-31;2025-01-05;2025-01-22;2025-01-13
