policy_id,a_kwh,cancellation_cost_yuan,charge_bus_kwh,date,discharge_bus_kwh,effective_issue,emergency_cost_yuan,emergency_kwh,g0_kwh,grid_unused_kwh,grid_used_kwh,increase_cost_yuan,load_kw,physical_interval_end,physical_interval_start,price_yuan_per_kwh,pv_actual_kw,pv_curtailment_kwh,retained_cost_yuan,slot_id,soc_end_kwh,soc_roundoff_adjustment_kwh,soc_start_kwh,total_cost_yuan
P3_MAIN_MEAN_ROLLOUT_061218,1454.4555666666668,0,833.33333333333337,2025-03-20,0,2025-03-20T00:00:00,0,0,1454.4555666666668,71.277416666666568,1383.1781500000002,0,3299.0689000000002,2025-03-20T00:10:00,2025-03-20T00:00:00,0.42480000000000001,0,0,617.85272472000008,1,2944.9670507407418,0,2194.9670507407418,617.85272472000008
P3_MAIN_MEAN_ROLLOUT_061218,1453.4873333333335,0,833.33333333333337,2025-03-20,0,2025-03-20T00:00:00,0,0,1453.4873333333335,49.840500000000247,1403.6468333333332,0,3421.8809999999999,2025-03-20T00:20:00,2025-03-20T00:10:00,0.42449999999999999,0,0,617.00537300000008,2,3694.9670507407418,0,2944.9670507407418,617.00537300000008
P3_MAIN_MEAN_ROLLOUT_061218,1445.645,0,831.79333333333329,2025-03-20,0,2025-03-20T00:00:00,0,0,1445.645,-0,1445.645,0,3683.1100000000001,2025-03-20T00:30:00,2025-03-20T00:20:00,0.4269,0,0,617.14585050000005,3,4443.5810507407423,0,3694.9670507407418,617.14585050000005
P3_MAIN_MEAN_ROLLOUT_061218,1440.86895,0,833.33333333333337,2025-03-20,0,2025-03-20T00:00:00,0,0,1440.86895,28.079449999999952,1412.7895000000001,0,3476.7370000000001,2025-03-20T00:40:00,2025-03-20T00:30:00,0.42720000000000002,0,0,615.53921544000002,4,5193.5810507407423,0,4443.5810507407423,615.53921544000002
P3_MAIN_MEAN_ROLLOUT_061218,1434.8355833333335,0,833.33333333333337,2025-03-20,0,2025-03-20T00:00:00,0,0,1434.8355833333335,51.057333333333418,1383.7782500000001,0,3302.6695,2025-03-20T00:50:00,2025-03-20T00:40:00,0.42709999999999998,0,0,612.81827764166667,5,5943.5810507407423,0,5193.5810507407423,612.81827764166667
P3_MAIN_MEAN_ROLLOUT_061218,1420.6100000000001,0,833.33333333333337,2025-03-20,0,2025-03-20T00:00:00,0,0,1420.6100000000001,16.120000000000118,1404.49,0,3426.9400000000001,2025-03-20T01:00:00,2025-03-20T00:50:00,0.42849999999999999,0,0,608.73138500000005,6,6693.5810507407423,0,5943.5810507407423,608.73138500000005
P3_MAIN_MEAN_ROLLOUT_061218,571.77599999999995,0,0,2025-03-20,29.813049999999976,2025-03-20T00:00:00,0,0,571.77599999999995,-0,571.77599999999995,0,3609.5342999999998,2025-03-20T01:10:00,2025-03-20T01:00:00,0.43109999999999998,0,0,246.49263359999998,7,6660.4554396296317,0,6693.5810507407423,246.49263359999998
P3_MAIN_MEAN_ROLLOUT_061218,1403.3737000000001,0,791.88995000000011,2025-03-20,0,2025-03-20T00:00:00,0,0,1403.3737000000001,-0,1403.3737000000001,0,3668.9025000000001,2025-03-20T01:20:00,2025-03-20T01:10:00,0.43020000000000003,0,0,603.73136574000011,8,7373.1563946296319,0,6660.4554396296317,603.73136574000011
P3_MAIN_MEAN_ROLLOUT_061218,1379.7266666666667,0,781.50999999999999,2025-03-20,0,2025-03-20T00:00:00,0,0,1379.7266666666667,-0,1379.7266666666667,0,3589.3000000000002,2025-03-20T01:30:00,2025-03-20T01:20:00,0.4279,0,0,590.38504066666667,9,8076.5153946296323,0,7373.1563946296319,590.38504066666667
P3_MAIN_MEAN_ROLLOUT_061218,579.08751666666672,0,0,2025-03-20,4.8484333333332188,2025-03-20T00:00:00,0,0,579.08751666666672,-0,579.08751666666672,0,3503.6156999999998,2025-03-20T01:40:00,2025-03-20T01:30:00,0.43120000000000003,0,0,249.70253718666672,10,8071.128246481484,0,8076.5153946296323,249.70253718666672
P3_MAIN_MEAN_ROLLOUT_061218,604.18306666666672,0,13.188016666666726,2025-03-20,0,2025-03-20T00:00:00,0,0,604.18306666666672,-0,604.18306666666672,0,3545.9703,2025-03-20T01:50:00,2025-03-20T01:40:00,0.43330000000000002,0,0,261.79252278666672,11,8082.9974614814837,0,8071.128246481484,261.79252278666672
P3_MAIN_MEAN_ROLLOUT_061218,1035.6343880658414,0,437.19105473250818,2025-03-20,0,2025-03-20T00:00:00,0,0,1035.6343880658414,-0,1035.6343880658414,0,3590.6599999999999,2025-03-20T02:00:00,2025-03-20T01:50:00,0.43109999999999998,0,0,446.46198469518424,12,8476.4694107407413,0,8082.9974614814837,446.46198469518424
P3_MAIN_MEAN_ROLLOUT_061218,1431.1275333333333,0,833.33333333333337,2025-03-20,0,2025-03-20T00:00:00,0,0,1431.1275333333333,31.810583333333398,1399.3169499999999,0,3395.9016999999999,2025-03-20T02:10:00,2025-03-20T02:00:00,0.42930000000000001,0,0,614.38305005999996,13,9226.4694107407413,0,8476.4694107407413,614.38305005999996
P3_MAIN_MEAN_ROLLOUT_061218,585.66006666666669,0,39.539300000000026,2025-03-20,0,2025-03-20T00:00:00,0,0,585.66006666666669,-0,585.66006666666669,0,3276.7246,2025-03-20T02:20:00,2025-03-20T02:10:00,0.43240000000000001,0,0,253.23941282666669,14,9262.054780740742,0,9226.4694107407413,253.23941282666669
P3_MAIN_MEAN_ROLLOUT_061218,597.71500000000003,0,32.001666666666665,2025-03-20,0,2025-03-20T00:00:00,0,0,597.71500000000003,-0,597.71500000000003,0,3394.2800000000002,2025-03-20T02:30:00,2025-03-20T02:20:00,0.43669999999999998,0,0,261.02214049999998,15,9290.8562807407416,0,9262.054780740742,261.02214049999998
P3_MAIN_MEAN_ROLLOUT_061218,605.83273333333341,0,7.9061666666667634,2025-03-20,0,2025-03-20T00:00:00,0,0,605.83273333333341,-0,605.83273333333341,0,3587.5594000000001,2025-03-20T02:40:00,2025-03-20T02:30:00,0.43480000000000002,0,0,263.41607245333336,16,9297.971830740742,0,9290.8562807407416,263.41607245333336
P3_MAIN_MEAN_ROLLOUT_061218,630.34141666666676,0,29.38695000000007,2025-03-20,0,2025-03-20T00:00:00,0,0,630.34141666666676,-0,630.34141666666676,0,3605.7267999999999,2025-03-20T02:50:00,2025-03-20T02:40:00,0.4335,0,0,273.25300412500002,17,9324.4200857407413,0,9297.971830740742,273.25300412500002
P3_MAIN_MEAN_ROLLOUT_061218,655.0533333333334,0,67.921666666666738,2025-03-20,0,2025-03-20T00:00:00,0,0,655.0533333333334,-0,655.0533333333334,0,3522.79,2025-03-20T03:00:00,2025-03-20T02:50:00,0.43569999999999998,0,0,285.40673733333335,18,9385.5495857407423,0,9324.4200857407413,285.40673733333335
P3_MAIN_MEAN_ROLLOUT_061218,620.11231666666674,0,14.902016666666668,2025-03-20,0,2025-03-20T00:00:00,0,0,620.11231666666674,-0,620.11231666666674,0,3631.2618000000002,2025-03-20T03:10:00,2025-03-20T03:00:00,0.43740000000000001,0,0,271.23712731000006,19,9398.9614007407417,0,9385.5495857407423,271.23712731000006
P3_MAIN_MEAN_ROLLOUT_061218,596.97715000000005,0,0,2025-03-20,24.915233333333276,2025-03-20T00:00:00,0,0,596.97715000000005,-0,596.97715000000005,0,3731.3543,2025-03-20T03:20:00,2025-03-20T03:10:00,0.43709999999999999,0,0,260.93871226499999,20,9371.2778081481483,0,9398.9614007407417,260.93871226499999
P3_MAIN_MEAN_ROLLOUT_061218,603.93666666666661,0,0,2025-03-20,16.231666666666797,2025-03-20T00:00:00,0,0,603.93666666666661,-0,603.93666666666661,0,3721.0100000000002,2025-03-20T03:30:00,2025-03-20T03:20:00,0.43559999999999999,0,0,263.07481199999995,21,9353.2426229629637,0,9371.2778081481483,263.07481199999995
P3_MAIN_MEAN_ROLLOUT_061218,611.27134999999998,0,0,2025-03-20,5.3517333333332999,2025-03-20T00:00:00,0,0,611.27134999999998,-0,611.27134999999998,0,3699.7384999999999,2025-03-20T03:40:00,2025-03-20T03:30:00,0.43530000000000002,0,0,266.08641865499999,22,9347.2962525925941,0,9353.2426229629637,266.08641865499999
P3_MAIN_MEAN_ROLLOUT_061218,594.92936666666662,0,0,2025-03-20,17.534383333333381,2025-03-20T00:00:00,0,0,594.92936666666662,-0,594.92936666666662,0,3674.7824999999998,2025-03-20T03:50:00,2025-03-20T03:40:00,0.436,0,0,259.38920386666666,23,9327.8136044444454,0,9347.2962525925941,259.38920386666666
P3_MAIN_MEAN_ROLLOUT_061218,591.14666666666665,0,0,2025-03-20,12.783333333333303,2025-03-20T00:00:00,0,0,591.14666666666665,-0,591.14666666666665,0,3623.5799999999999,2025-03-20T04:00:00,2025-03-20T03:50:00,0.43780000000000002,0,0,258.80401066666667,24,9313.6099007407411,0,9327.8136044444454,258.80401066666667
P3_MAIN_MEAN_ROLLOUT_061218,608.84624999999994,0,19.051616666666632,2025-03-20,0,2025-03-20T00:00:00,0,0,608.84624999999994,-0,608.84624999999994,0,3538.7696999999998,2025-03-20T04:10:00,2025-03-20T04:00:00,0.44009999999999999,0.0019,0,267.95323462499999,25,9330.7563557407411,0,9313.6099007407411,267.95323462499999
P3_MAIN_MEAN_ROLLOUT_061218,622.43898333333345,0,40.974933333333524,2025-03-20,0,2025-03-20T00:00:00,0,0,622.43898333333345,-0,622.43898333333345,0,3488.7842999999998,2025-03-20T04:20:00,2025-03-20T04:10:00,0.43890000000000001,0,0,273.18846978500005,26,9367.6337957407413,0,9330.7563557407411,273.18846978500005
P3_MAIN_MEAN_ROLLOUT_061218,612.43500000000006,0,26.850000000000023,2025-03-20,0,2025-03-20T00:00:00,0,0,612.43500000000006,-0,612.43500000000006,0,3513.5100000000002,2025-03-20T04:30:00,2025-03-20T04:20:00,0.43640000000000001,0,0,267.26663400000001,27,9391.7987957407422,0,9367.6337957407413,267.26663400000001
